"sample_name","genus_tax_id","name","category","nt_rpm","nt_count","nt_alignment_length","nr_count","p_adj"
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus dysgalactiae","bacteria",84.0590877,4344,228.495,10461,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus canis","bacteria",69.44937057,3589,302.501,280,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus equi","bacteria",70.22339532,3629,313.154,2392,0.000502692
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus mutans","bacteria",27.05216496,1398,128.708,274,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus porcinus","bacteria",13.50673186,698,289.07,2,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus sp. 'group B'","bacteria",13.35192691,690,426.684,23,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus sp. NSJ-72","bacteria",11.02985267,570,319.636,5,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus australis","bacteria",3.076748376,159,197,945,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus constellatus","bacteria",32.52839006,1681,277.249,308,1.04161105595904e-155
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus sp. oral taxon 431","bacteria",9.03673894,467,199.099,13,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus salivarius","bacteria",11.6877737,604,98.8365,255,0.011656717
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus thermophilus","bacteria",23.99476721,1240,655.634,660,0.109570943
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus equinus","bacteria",1.315842073,68,73.45,12,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus suis","bacteria",15.73205302,813,102.051,1384,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus ruminantium","bacteria",0.832076605,43,94.4167,107,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus gallolyticus","bacteria",0.793375367,41,75.4,2,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus acidominimus","bacteria",0.735323511,38,88.9167,4,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus pseudopneumoniae","bacteria",0.696622274,36,104,247,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus sp. KS 6","bacteria",0.309609899,16,115.5,8,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus parasanguinis","bacteria",1.993113728,103,97.3333,172,5.25444471883973e-07
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus ratti","bacteria",0.019350619,1,94,100,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus intermedius","bacteria",2.283373008,118,91.44,211,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus sanguinis","bacteria",4.857005297,251,82.0833,186,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus gordonii","bacteria",3.289605182,170,92.1739,98,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus mitis","bacteria",7.817649961,404,118.111,768,4.14418915519963e-08
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1301,"Streptococcus oralis","bacteria",3.328306419,172,78.5128,221,4.78132331314178e-40
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",909656,"Phocaeicola vulgatus","bacteria",175.1037488,9049,176.303,9943,0.000149266
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",909656,"Phocaeicola dorei","bacteria",158.442866,8188,731.129,411,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",909656,"Phocaeicola salanitronis","bacteria",22.50476957,1163,92.8099,26,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1375,"Aerococcus christensenii","bacteria",200.6272148,10368,126.787,8080,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1375,"Aerococcus urinae","bacteria",5.785834996,299,125,2348,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1375,"Aerococcus urinaehominis","bacteria",0.619219799,32,76.3333,21,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1375,"Aerococcus viridans","bacteria",4.082980549,211,83.0769,10,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2529408,"Schaalia cardiffensis","bacteria",10.25582792,530,93.5248,141,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2529408,"Schaalia radingae","bacteria",10.44933411,540,174.599,65,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2529408,"Schaalia odontolytica","bacteria",9.404400695,486,116.292,166,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2529408,"Schaalia sp. ZJ405","bacteria",4.160383024,215,89.68,36,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",2529408,"Schaalia meyeri","bacteria",3.231553325,167,78.5349,23,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1378,"Gemella sanguinis","bacteria",15.65465054,809,158.124,990,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1378,"Gemella haemolysans","bacteria",16.79633704,868,131.551,235,1.63430652085504e-106
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1378,"Gemella morbillorum","bacteria",15.82880611,818,109.827,124,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1378,"Gemella sp. ND 6198","bacteria",14.06789981,727,139.652,32,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",34104,"Streptobacillus moniliformis","bacteria",17.24140127,891,111.885,14537,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium aurimucosum","bacteria",321.9362436,16637,138.972,22642,4.33451035452565e-279
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium tuberculostearicum","bacteria",234.4133951,12114,124.074,6487,6.48223859431994e-22
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium amycolatum","bacteria",49.84719381,2576,109.686,7187,1.54861245278093e-267
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium simulans","bacteria",174.2136203,9003,123.639,2958,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium glaucum","bacteria",30.399822,1571,133.092,7524,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium jeikeium","bacteria",190.5068412,9845,129.06,3865,1.43394318671721e-18
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium kefirresidentii","bacteria",67.34015313,3480,117.883,2052,1.72386797007141e-12
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium striatum","bacteria",39.14630166,2023,106.063,3218,0.000301342
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium urealyticum","bacteria",5.669731283,293,109.041,3208,0
"DoxyPep_R007_Plate2_Rectal_DNA_Seq091_S186",1716,"Corynebacterium minutissimum","bacteria",54.56874478,2820,125.961,768,0
