"sample_name","tax_id","tax_level","genus_tax_id","name","common_name","category","is_phage","agg_score","max_z_score","nt_z_score","nt_rpm","nt_count","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nt_e_value","nt_bg_mean","nt_bg_stdev","nt_bg_mean_mass_normalized","nt_bg_stdev_mass_normalized","nr_z_score","nr_rpm","nr_count","nr_contigs","nr_contig_r","nr_percent_identity","nr_alignment_length","nr_e_value","nr_bg_mean","nr_bg_stdev","nr_bg_mean_mass_normalized","nr_bg_stdev_mass_normalized","species_tax_ids","known_pathogen","expected_bg_count","p_val","p_adj"
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1386,2,1386,"Bacillus","","bacteria","false",73790.069309446,100,1.85017372083789,116.107069926472,3619,18,1863,85.9658,108.243,"10^-20.7091",38.8934,41.7332,NA,NA,100,66.5714755726524,2075,42,1262,60.4976,95.5298,"10^0.0058716",NA,NA,NA,NA,"[2054166, 1396, 1428, 492670, 1499685, 388400, 2011007, 1390, 1890302, 1423, 1522308, 2026191, 1397, 1402, 2652445, 2026190, 64104, 1405, 1565991, 293386, 2607061, 1340430, 1743142, 459347, 1479, 1398, 189382, 2772559, 1408, 254757, 1665556, 1441095, 2698834, 2714038, 1608910, 1503961, 632773, 2699460, 2036016, 1821260, 666686, 561879, 1736211, 324768, 1392, 2759023, 1033734, 77777, 2768440, 2574798, 2027408, 1413, 98228, 2723053, 2021690, 2780093, 2033504, 1926280, 1805475, 1499688, 1403243, 1208599, 936600, 2034280, 2014782, 86664, 1581038, 1178537, 293387, 2502980, 1850362, 412384, 304268, 72361, 486398, 2587848, 1783501, 658666, 1402861, 580165, 2771434, 2703818, 2135743, 260554, 1452, 189381, 33932, 2026189, 2682541, 2567941, 1648923, 72360, 227866, 1664069, 2589818, 1547283, 1071078, 2762327, 35841, 2760090, 119858, 2683680, 1742359, 756828, 352858, 1071072, 2709784, 1774743, 1705566, 2795526, 2779776, 2014076, 1127744, 324767, 155322, 96241, 2070759, 2009331, 2666127, 2026188, 2011012, 659243, 2598861, 1471, 1670641, 218284, 79883, 1409]",0,0.61400407383373,6.56274880315882e-133,8.71019260113434e-133
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",46205,2,46205,"Pseudobutyrivibrio","","bacteria","false",73469.2429211441,100,100,3.72158610430249,116,1,8,88.6528,74.7838,"10^-22.7369",NA,NA,NA,NA,100,6.80151943200111,212,4,171,64.5876,99.9571,"10^2.74077e-07",NA,NA,NA,NA,"[185007, 46206, 1410616, 1798186, 1798185]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",580596,2,580596,"Butyricicoccus","","bacteria","false",70260.9790381247,100,100,0.320826388301939,10,NA,NA,98.1315,78,"10^-38.6567",NA,NA,NA,NA,100,63.1386332178216,1968,23,758,91.2593,65.6917,"10^0.0043789",NA,NA,NA,NA,"[1193532, 2292294, 501571, 2292198, 2320083, 1712515, 2292196, 2292297, 2292299, 2584625, 2292293, 2292197, 2292003, 2292300, 2292005, 2292298, 2292004, 2292301, 2292199, 2292302, 1945634, 2292296, 2109686, 2292295]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2160,2,2160,"Methanobacterium","","archaea","false",69619.3262615208,100,100,7.47525484743518,233,1,215,91.8145,72.3623,"10^-17.9252",NA,NA,NA,NA,100,0.0641652776603878,2,NA,NA,53.3,45,"10^6.9e-07",NA,NA,NA,NA,"[877455, 2025350, 868131]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1654,2,1654,"Actinomyces","","bacteria","false",68605.5148744867,99,3.03877930498984,56.1446179528394,1750,22,995,88.6156,192.469,"10^-57.6764",15.2937,13.4432,NA,NA,99,49.7280901868006,1550,27,748,81.5875,88.0351,"10^1.00103e-05",0.335129,0.473944,NA,NA,"[1739479, 1689268, 2066054, 2708340, 2069311, 1739339, 103621, 2560010, 1581131, 1522002, 55565, 1926276, 1284680, 936548, 2708342, 1739395, 544580, 1739358, 1219581, 2708077, 712121, 1325934, 712117, 1720198, 2057792, 1871028, 461393, 2722820, 2057798, 712122, 272548, 29317, 1912795, 1857645, 653385, 2057800, 1852377, 2321394, 1659, 1921764, 1203556, 712124, 1655, 712116, 2081702, 1892869, 1118058, 1105030, 936549, 131109, 2763540, 649739, 2737173, 52771, 1851395, 675090, 52774, 2057743, 111015, 2079536, 2744574, 1960083, 706438, 1656, 710238]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",358023,2,358023,"Lutibacter","","bacteria","false",66090.2359901995,100,100,6.60902359901995,206,4,201,83.3818,122.795,"10^-19.3464",NA,NA,NA,NA,100,0.320826388301939,10,NA,NA,73.611,72,"10^4.22e-32",NA,NA,NA,NA,"[1622118, 2138210]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2147,2,2147,"Acholeplasma","","bacteria","false",64806.9304369917,100,100,9.27188262192604,289,2,113,83.8398,145.178,"10^-26.9583",NA,NA,NA,NA,100,0.769983331924654,24,NA,NA,64.6571,43.8571,"10^2.47059e-05",NA,NA,NA,NA,"[29552, 38986, 2148, 35623, 1262686, 264636, 228419, 33015]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1663717,2,1663717,"Herbinix","","bacteria","false",62561.1457188781,100,100,2.53452846758532,79,2,24,86.5757,88.9474,"10^-19.1075",NA,NA,NA,NA,100,6.25611457188781,195,4,171,68.6059,117.324,"10^1.37716e-09",NA,NA,NA,NA,"[1564487, 1679721]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",49082,2,49082,"Candidatus Arthromitus","","bacteria","false",60636.1873890665,100,100,5.13322221283103,160,2,31,84.8438,78.3167,"10^-19.4344",NA,NA,NA,NA,100,7.44317220860499,232,2,218,63.9207,151.683,"10^3.3018e-07",NA,NA,NA,NA,"[49118, 1840217, 1041504, 1508644, 1054942, 1054944, 1054943]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",1649495,2,1649495,"Seonamhaeicola","","bacteria","false",60062.4085052502,100,49.9948675029439,24.0298964838152,749,1,735,81.3377,118.053,"10^-15.3675",0.335129,0.473944,NA,NA,100,0.0641652776603878,2,NA,NA,100,20,"10^6.71e-05",NA,NA,NA,NA,"[1936081, 1912246]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2685905,2,2685905,"Salicibibacter","","bacteria","false",59994.5346124626,100,100,7.15442845913324,223,2,199,85.2246,80.2264,"10^-12.3407",NA,NA,NA,NA,100,0.352909027132133,11,1,9,42.5213,50.3333,"10^0.00200171",NA,NA,NA,NA,"[2502791, 2743001, 2743000, 2099786]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2767893,2,2767893,"Lentilactobacillus","","bacteria","false",58224.2370832145,100,100,26.5965075902308,829,1,807,82.3265,108.91,"10^-14.9077",NA,NA,NA,NA,100,0.0320826388301939,1,NA,NA,100,48,"10^8.82e-25",NA,NA,NA,NA,"[1588, 152332, 1138822, 1581, 152331]",0,0,0,0
"DOXYPEP_R140_PLATE1_RECTAL_DNA_SEQ091_S58",2767887,2,2767887,"Ligilactobacillus","","bacteria","false",58029.4884469903,100,100,8.79064303947313,274,2,144,84.3686,97.4556,"10^-21.4715",NA,NA,NA,NA,100,9.46437845490721,295,2,207,61.9189,60.837,"10^0.00501837",NA,NA,NA,NA,"[1622, 1623, 307126, 1624, 1601, 228229, 137357, 395085, 1606, 1605]",0,0.76471807628524,4.21294763304932e-11,5.19437293393013e-11
